household_id,SAMPN,HH_ZONE_ID,HH_WEIGHT,HH_SIZE,HH_VEH,HH_WORKERS
1351,1351,892,,5,1,1
1352,1352,892,,1,2,1
1354,1354,892,,4,2,3
1355,1355,892,,4,5,2
1356,1356,834,,1,3,1
1357,1357,834,,2,1,2
1358,1358,834,,3,1,1
1359,1359,834,,1,1,1
1360,1360,835,,2,0,1
1361,1361,834,,2,1,1
1362,1362,834,,1,1,1
1363,1363,835,,4,1,2
1364,1364,892,,2,3,2
1365,1365,892,,1,2,1
1366,1366,892,,2,1,2
1367,1367,892,,3,1,2
1368,1368,892,,2,3,2
1369,1369,892,,4,2,1
1370,1370,892,,1,2,1
1373,1373,892,,5,1,1
1374,1374,892,,6,2,2
1375,1375,892,,1,3,1
1376,1376,892,,2,1,2
1377,1377,892,,4,2,1
1378,1378,892,,5,2,1
1379,1379,892,,2,1,1
1380,1380,892,,3,1,3
1381,1381,892,,2,2,1
1382,1382,892,,1,1,1
1385,1385,892,,2,2,1
1386,1386,892,,2,1,2
1387,1387,892,,3,1,2
1388,1388,892,,2,1,1
1389,1389,892,,1,1,1
1391,1391,825,,5,3,1
1392,1392,825,,2,4,1
1393,1393,825,,1,2,1
1396,1396,892,,2,2,1
1397,1397,892,,2,1,1
1398,1398,892,,5,1,3
1399,1399,892,,1,2,1
1400,1400,835,,1,1,1
1401,1401,835,,2,0,2
1402,1402,835,,3,2,2
1403,1403,835,,3,0,2
1404,1404,835,,4,1,2
1405,1405,825,,3,1,1
1406,1406,825,,1,2,1
1408,1408,825,,1,3,1
1409,1409,835,,2,1,2
1410,1410,835,,4,1,1
1411,1411,835,,4,0,4
1412,1412,835,,2,2,1
1413,1413,835,,1,1,1
1414,1414,835,,4,1,2
1415,1415,835,,2,1,1
1416,1416,835,,1,0,1
1417,1417,835,,2,0,2
1418,1418,835,,1,1,1
1419,1419,835,,1,0,1
1420,1420,823,,1,0,1
1421,1421,835,,1,0,1
1423,1423,835,,1,1,1
1424,1424,835,,7,0,1
1425,1425,825,,2,10,1
1426,1426,825,,5,2,2
1427,1427,825,,2,4,2
1428,1428,835,,3,1,1
1429,1429,835,,2,1,2
1430,1430,835,,1,2,1
1432,1432,835,,4,1,1
1433,1433,835,,2,2,2
1434,1434,892,,2,2,1
1435,1435,892,,4,1,1
1436,1436,892,,2,2,1
1437,1437,892,,2,1,1
1438,1438,626,,3,2,1
1439,1439,626,,2,1,1
1440,1440,749,,3,2,3
1441,1441,749,,6,3,3
1442,1442,635,,5,4,3
1443,1443,749,,5,3,1
1444,1444,745,,1,2,1
1446,1446,747,,1,2,1
1449,1449,749,,3,2,2
1450,1450,743,,2,2,1
1451,1451,747,,1,2,1
1453,1453,747,,1,2,1
1455,1455,768,,4,5,3
1456,1456,768,,4,4,3
1457,1457,768,,1,4,1
1459,1459,747,,2,3,2
1460,1460,747,,2,6,1
1461,1461,747,,2,2,2
1462,1462,747,,4,4,4
1463,1463,743,,5,5,3
1464,1464,768,,5,2,2
1465,1465,764,,2,2,2
1466,1466,764,,4,2,2
1467,1467,764,,4,2,2
1468,1468,684,,3,4,1
1469,1469,751,,5,2,1
1470,1470,679,,1,2,1
1472,1472,768,,1,7,1
1475,1475,764,,1,5,1
1478,1478,764,,2,2,2
1479,1479,817,,2,0,1
1480,1480,817,,1,1,1
1482,1482,817,,1,2,1
1484,1484,591,,5,0,1
1485,1485,591,,6,1,1
1486,1486,817,,5,3,3
1487,1487,817,,2,3,2
1488,1488,817,,1,2,1
1489,1489,817,,1,1,1
1490,1490,817,,4,1,1
1491,1491,817,,5,1,1
1492,1492,817,,2,2,2
1493,1493,817,,2,1,1
1494,1494,817,,1,1,1
1495,1495,817,,2,1,1
1496,1496,817,,2,1,1
1497,1497,817,,1,1,1
1498,1498,817,,3,1,2
1499,1499,817,,4,2,1
1500,1500,817,,1,1,1
1501,1501,817,,3,1,3
1502,1502,590,,4,3,2
1503,1503,582,,1,2,1
1504,1504,591,,3,1,2
1505,1505,591,,2,1,2
1506,1506,591,,3,1,3
1507,1507,591,,1,2,1
1509,1509,817,,2,3,1
1510,1510,817,,1,1,1
1512,1512,591,,2,0,1
1513,1513,591,,3,1,1
1514,1514,591,,2,0,1
1515,1515,591,,3,0,1
1516,1516,591,,2,1,2
1517,1517,817,,2,1,2
1518,1518,817,,2,2,2
1519,1519,817,,3,1,1
1520,1520,590,,2,1,1
1521,1521,590,,4,1,2
1522,1522,590,,2,1,2
1523,1523,590,,3,2,1
1524,1524,590,,3,1,3
1525,1525,590,,3,1,1
1526,1526,590,,1,1,1
1528,1528,591,,1,1,1
1529,1529,591,,1,1,1
1530,1530,591,,2,0,1
1531,1531,591,,2,2,1
1532,1532,591,,3,1,1
1533,1533,591,,1,0,1
1534,1534,591,,2,0,1
1535,1535,591,,1,0,1
1536,1536,591,,1,0,1
1538,1538,591,,2,2,1
1539,1539,591,,1,0,1
1540,1540,591,,1,1,1
1541,1541,591,,1,1,1
1543,1543,591,,1,0,1
1545,1545,591,,5,0,2
1546,1546,464,,4,2,2
1547,1547,464,,3,2,1
1548,1548,464,,3,2,2
1549,1549,465,,4,2,1
1550,1550,465,,5,1,2
1551,1551,467,,2,1,2
1552,1552,467,,4,2,1
1553,1553,467,,3,1,2
1554,1554,467,,1,1,1
1556,1556,467,,4,1,2
1557,1557,467,,3,2,2
1558,1558,467,,4,0,1
1559,1559,467,,4,2,2
1560,1560,467,,4,2,2
1561,1561,467,,1,1,1
1563,1563,465,,4,0,1
1564,1564,537,,3,1,1
1565,1565,465,,4,1,1
1566,1566,464,,3,1,2
1567,1567,464,,4,1,1
